participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_21,2023-01-13,1673592608220,3.0,4.0,6.0,3.0,9.0
Participant_21,2023-01-12,1673515246582,3.0,9.0,1.0,3.0,6.0
Participant_21,2023-01-11,1673425328468,2.0,7.0,2.0,4.0,7.0
Participant_21,2023-01-10,1673330910748,2.0,9.0,1.0,9.0,
Participant_21,2023-01-09,1673243464070,1.0,10.0,1.0,10.0,2.0
Participant_21,2023-01-08,1673163552835,2.0,8.0,1.0,7.0,2.0
Participant_21,2023-01-07,1673081958184,1.0,8.0,1.0,6.0,4.0
Participant_21,2023-01-06,1672990203613,2.0,9.0,1.0,3.0,6.0
Participant_21,2023-01-05,1672917271220,1.0,8.0,1.0,7.0,3.0
Participant_21,2023-01-04,1672818232331,1.0,8.0,1.0,7.0,1.0
Participant_21,2023-01-03,1672736019084,1.0,10.0,1.0,7.0,1.0
Participant_21,2023-01-02,1672644150506,1.0,10.0,1.0,7.0,1.0
Participant_21,2023-01-01,1672558081558,1.0,9.0,1.0,9.0,1.0
Participant_21,2022-12-31,1672473866177,1.0,10.0,1.0,8.0,1.0
Participant_21,2022-12-30,1672387507933,1.0,10.0,1.0,9.0,1.0
Participant_21,2022-12-29,1672297196687,1.0,10.0,1.0,,
Participant_21,2022-12-28,1672221369131,1.0,10.0,1.0,10.0,1.0
Participant_21,2022-12-27,1672128936620,1.0,10.0,1.0,9.0,1.0
Participant_21,2022-12-26,1672040363482,1.0,10.0,1.0,9.0,1.0
Participant_21,2022-12-25,1671951539493,2.0,7.0,1.0,6.0,1.0
Participant_21,2022-12-24,1671863497633,3.0,8.0,1.0,7.0,1.0
Participant_21,2022-12-23,1671784700659,3.0,9.0,1.0,,1.0
Participant_21,2022-12-22,1671697032748,3.0,8.0,1.0,7.0,1.0
Participant_21,2022-12-21,1671610726713,8.0,8.0,1.0,7.0,1.0
Participant_21,2022-12-20,1671525532423,3.0,8.0,1.0,6.0,1.0
Participant_21,2022-12-19,1671447579945,4.0,7.0,1.0,8.0,3.0
Participant_21,2022-12-18,1671351931800,2.0,7.0,1.0,9.0,2.0
Participant_21,2022-12-17,1671262424597,4.0,8.0,2.0,4.0,6.0
Participant_21,2022-12-16,1671177961462,9.0,8.0,1.0,9.0,1.0
Participant_21,2022-12-15,1671090522988,1.0,10.0,1.0,10.0,1.0
Participant_21,2022-12-14,1671001052524,2.0,9.0,2.0,3.0,3.0
Participant_21,2023-01-13,1673608874271,3.0,4.0,4.0,3.0,6.0
Participant_21,2023-01-12,1673525841438,3.0,7.0,5.0,3.0,
Participant_21,2023-01-11,1673447683361,1.0,8.0,3.0,3.0,7.0
Participant_21,2023-01-10,1673349033533,2.0,9.0,6.0,7.0,4.0
Participant_21,2023-01-09,1673269874974,1.0,7.0,6.0,8.0,3.0
Participant_21,2023-01-08,1673180746596,1.0,8.0,,7.0,1.0
Participant_21,2023-01-07,1673095931058,1.0,7.0,4.0,7.0,3.0
Participant_21,2023-01-06,1673013180323,3.0,9.0,4.0,4.0,7.0
Participant_21,2023-01-05,1672917248007,2.0,10.0,7.0,6.0,4.0
Participant_21,2023-01-04,1672833685977,1.0,8.0,6.0,8.0,1.0
Participant_21,2023-01-03,1672755710545,1.0,9.0,7.0,8.0,1.0
Participant_21,2023-01-02,1672657737490,1.0,9.0,7.0,7.0,1.0
